Dopant,Dopant/Ti mole ratio,Calcination temperature,Pollutant,Catalyst/Pollutant mass ratio,pH,Experimental temperature,Light wavelength,Illumination time,Degradation rate,,
C,16,400,MB,100,7,25,425,20,30,,
C,16,400,MB,100,7,25,425,40,43,,
C,16,400,MB,100,7,25,425,60,48,,
C,16,400,MB,100,7,25,425,80,50,,
C,16,500,MB,100,7,25,425,20,78,,
C,16,500,MB,100,7,25,425,40,88,,
C,16,500,MB,100,7,25,425,60,90,,
C,16,500,MB,100,7,25,425,80,95,,
C,16,600,MB,20,7,25,425,20,62,,
C,16,600,MB,50,7,25,425,20,73,,
C,16,600,MB,50,7,25,425,20,65,,
C,16,600,MB,100,3,25,425,20,42,,
C,16,600,MB,100,7,25,425,20,89,,
C,16,600,MB,100,10,25,425,20,96,,
C,16,600,MB,200,7,25,425,20,94,,
C,16,600,MB,200,7,25,425,20,82,,
C,16,600,MB,400,7,25,425,20,79,,
C,16,600,MB,20,7,25,425,40,70,,
C,16,600,MB,50,7,25,425,40,79,,
C,16,600,MB,50,7,25,425,40,86,,
C,16,600,MB,100,3,25,425,40,52,,
C,16,600,MB,100,7,25,425,40,96,,
C,16,600,MB,100,10,25,425,40,100,,
C,16,600,MB,200,7,25,425,40,99,,
C,16,600,MB,200,7,25,425,40,95,,
C,16,600,MB,400,7,25,425,40,90,,
C,16,600,MB,200,7,25,425,50,100,,
C,16,600,MB,20,7,25,425,60,80,,
C,16,600,MB,50,7,25,425,60,90,,
C,16,600,MB,50,7,25,425,60,92,,
C,16,600,MB,100,3,25,425,60,58,,
C,16,600,MB,100,7,25,425,60,99,,
C,16,600,MB,200,7,25,425,60,99,,
C,16,600,MB,400,7,25,425,60,96,,
C,16,600,MB,20,7,25,425,80,87,,
C,16,600,MB,50,7,25,425,80,97,,
C,16,600,MB,50,7,25,425,80,96,,
C,16,600,MB,100,3,25,425,80,62,,
C,16,600,MB,100,7,25,425,80,100,,
C,16,600,MB,200,7,25,425,80,100,,
C,16,600,MB,400,7,25,425,80,100,,
C,16,600,MB,20,7,25,425,100,88,,
C,16,600,MB,50,7,25,425,100,100,,
C,16,600,MB,50,7,25,425,100,100,,
C,16,600,MB,100,3,25,425,100,67,,
C,16,600,MB,200,7,25,425,100,100,,
C,16,600,MB,400,7,25,425,100,100,,
C,16,700,MB,100,7,25,425,20,62,,
C,16,700,MB,100,7,25,425,40,75,,
C,16,700,MB,100,7,25,425,60,83,,
C,16,700,MB,100,7,25,425,80,90,,
C,16,800,MB,100,7,25,425,20,50,,
C,16,800,MB,100,7,25,425,40,59,,
C,16,800,MB,100,7,25,425,60,70,,
C,16,800,MB,100,7,25,425,80,82,,
Fe,0,500,MB,100,7,0,545,60,28.1,,
Fe,0,500,MB,100,7,0,545,120,44,,
Fe,0,500,MB,100,7,0,545,180,52.8,,
Fe,0,500,MB,100,7,0,545,240,60.5,,
Fe,0,500,MB,100,7,0,545,300,69,,
Fe,0,500,MB,100,7,0,545,360,73,,
N,2,500,MB,100,7,0,545,60,35.6,,
N,2,500,MB,100,7,0,545,120,57.7,,
N,2,500,MB,100,7,0,545,180,70.2,,
N,2,500,MB,100,7,0,545,240,75.1,,
N,2,500,MB,100,7,0,545,300,80.4,,
N,2,500,MB,100,7,0,545,360,84.3,,
pure,0,500,MB,100,7,0,545,60,11.3,,
pure,0,500,MB,100,7,0,545,120,16.5,,
pure,0,500,MB,100,7,0,545,180,18.1,,
pure,0,500,MB,100,7,0,545,240,24.4,,
pure,0,500,MB,100,7,0,545,300,29.5,,
pure,0,500,MB,100,7,0,545,360,36.2,,
Ag,0.0101,400,MB,50,6.8,25,254,30,28.5,,
Ag,0.0101,400,MB,66.67,6.8,25,254,30,40,,
Ag,0.0101,400,MB,100,6.8,25,254,30,61,,
Ag,0.0101,400,MB,50,6.8,25,254,45,35.5,,
Ag,0.0101,400,MB,66.67,6.8,25,254,45,46,,
Ag,0.0101,400,MB,100,6.8,25,254,45,77.5,,
Ag,0.0101,400,MB,50,6.8,25,254,60,45.1,,
Ag,0.0101,400,MB,66.67,6.8,25,254,60,52,,
Ag,0.0101,400,MB,100,6.8,25,254,60,84,,
Ag,0.0101,400,MB,50,6.8,25,254,90,50.3,,
Ag,0.0101,400,MB,100,6.8,25,254,90,89.5,,
Ag,0.0101,400,MB,50,6.8,25,254,120,60,,
Ag,0.0101,400,MB,66.67,6.8,25,254,120,70.5,,
Ag,0.0101,400,MB,100,3,25,254,120,86,,
Ag,0.0101,400,MB,100,4,25,254,120,90,,
Ag,0.0101,400,MB,100,5,25,254,120,93,,
Ag,0.0101,400,MB,100,6,25,254,120,94.4,,
Ag,0.0101,400,MB,100,6.8,25,254,120,94,,
Ag,0.0101,400,MB,100,7,25,254,120,95,,
Ag,0.0101,400,MB,100,8,25,254,120,97,,
Ag,0.0101,400,MB,100,9,25,254,120,98,,
Ag,0.0101,400,MB,100,10,25,254,120,99,,
Ag,0.0101,400,MB,100,11,25,254,120,99,,
Ag,0.0101,400,MB,100,12,25,254,120,99,,
Ag,0.0101,400,MB,100,13,25,254,120,99,,
Ag,0.0101,400,MB,50,6.8,25,254,150,71.5,,
Ag,0.0101,400,MB,66.67,6.8,25,254,150,84,,
Ag,0.0101,400,MB,100,6.8,25,254,150,98,,
Ag,0.0101,400,MB,37.5,6.8,25,254,180,63,,
Ag,0.0101,400,MB,50,6.8,25,254,180,76.1,,
Ag,0.0101,400,MB,50,6.8,25,254,180,80,,
Ag,0.0101,400,MB,62.5,6.8,25,254,180,85,,
Ag,0.0101,400,MB,75,6.8,25,254,180,89,,
Ag,0.0101,400,MB,87.5,6.8,25,254,180,95,,
Ag,0.0101,400,MB,100,6.8,25,254,180,98,,
Ag,0.0101,400,MB,112.5,6.8,25,254,180,99,,
Ag,0.0101,400,MB,125,6.8,25,254,180,98,,
Ag,0.0101,400,MB,150,6.8,25,254,180,96.5,,
Ag,0.0101,400,MB,187.5,6.8,25,254,180,89.8,,
Ag,0.0101,400,MB,200,6.8,25,254,180,99,,
Ag,0.0101,400,MB,200,6.8,25,254,180,87.8,,
pure,0,400,MB,100,6.8,25,254,30,51,,
pure,0,400,MB,100,6.8,25,254,45,68.5,,
pure,0,400,MB,100,6.8,25,254,60,75.5,,
pure,0,400,MB,100,6.8,25,254,90,84,,
pure,0,400,MB,100,6.8,25,254,120,90,,
pure,0,400,MB,100,6.8,25,254,150,93.5,,
pure,0,400,MB,100,6.8,25,254,180,94.5,,
Ce,0.0005,400,Phenol,50,7,25,365,60,56,,
Ce,0.0023,400,Phenol,50,7,25,365,60,64,,
Ce,0.003,400,Phenol,50,7,25,365,60,18,,
Ce,0.0086,400,Phenol,50,7,25,365,60,18,,
Ce,0.0143,400,Phenol,50,7,25,365,60,15,,
Ce,0.0005,400,Phenol,50,7,25,365,120,85,,
Ce,0.0023,400,Phenol,50,7,25,365,120,93.5,,
Ce,0.003,400,Phenol,50,7,25,365,120,41.5,,
Ce,0.0086,400,Phenol,50,7,25,365,120,27,,
Ce,0.0143,400,Phenol,50,7,25,365,120,26.5,,
Ce,0.0005,400,Phenol,50,7,25,365,180,98.2,,
Ce,0.0023,400,Phenol,50,7,25,365,180,100,,
Ce,0.003,400,Phenol,50,7,25,365,180,54,,
Ce,0.0086,400,Phenol,50,7,25,365,180,40,,
Ce,0.0143,400,Phenol,50,7,25,365,180,36,,
F,0.2216,500,MB,200,7,25,580,20,19,,
F,0.4678,500,MB,200,7,25,580,20,24,,
F,0.743,500,MB,200,7,25,580,20,19,,
F,0.2216,500,MB,200,7,25,580,40,32,,
F,0.4678,500,MB,200,7,25,580,40,40,,
F,0.743,500,MB,200,7,25,580,40,32,,
F,0.2216,500,MB,200,7,25,580,60,39,,
F,0.4678,500,MB,200,7,25,580,60,50,,
F,0.743,500,MB,200,7,25,580,60,39,,
F,0.2216,500,MB,200,7,25,580,120,54,,
F,0.4678,500,MB,200,7,25,580,120,68,,
F,0.743,500,MB,200,7,25,580,120,61,,
F,0.2216,500,MB,200,7,25,580,180,62,,
F,0.4678,500,MB,200,7,25,580,180,80,,
F,0.743,500,MB,200,7,25,580,180,73,,
F,0.2216,500,MB,200,7,25,580,240,68,,
F,0.4678,500,MB,200,7,25,580,240,90,,
F,0.743,500,MB,200,7,25,580,240,79,,
F,1.5,450,MB,100,7,25,420,30,35,,
F,1.5,450,MB,100,7,25,420,60,53.6,,
F,1.5,450,MB,100,7,25,420,90,68.5,,
F,1.5,450,MB,100,7,25,420,120,79,,
F,1.5,450,MB,100,7,25,420,150,87,,
F,1.5,450,MB,100,7,25,420,180,91,,
F,1.5,450,MB,100,7,25,420,210,96,,
P,0.044,500,RhB,16.67,7,16,420,10,57,,
P,0.044,500,RhB,16.67,7,16,420,20,78,,
P,0.044,500,RhB,16.67,7,16,420,30,86,,
P,0.044,500,RhB,16.67,7,16,420,40,90,,
S,1.5,450,MB,100,7,25,420,30,16,,
S,0.001,500,MO,100,2.5,25,345,15,42.5,,
S,0.005,500,MO,100,2.5,25,345,15,28,,
S,0.0101,500,MO,100,2.5,25,345,15,18.5,,
S,0.001,500,MO,100,2.5,25,345,30,83,,
S,0.005,500,MO,100,2.5,25,345,30,57.5,,
S,0.0101,500,MO,100,2.5,25,345,30,42.5,,
S,0.001,500,MO,100,2.5,25,345,45,94,,
